revenue,expenses,employees,customer_satisfaction,market_share,growth_rate,product_count,region,department,year
61278.99549030161,33698.56945632315,160,6.73497540171788,20.26576426666452,4.6267964853685415,19,West,HR,2019
61865.47920564571,35969.95964992718,192,7.095187597059943,14.802224230716725,29.57223832219427,6,Central,Engineering,2022
36359.18817807891,40951.57025436914,345,6.0318544263265395,18.40750348686312,15.690114335204118,34,South,HR,2018
71041.91466404148,26817.793167665273,104,6.833560109885832,15.141591880652307,1.1458521226064384,18,East,Sales,2021
28972.234058115788,55923.8727568546,468,8.065950739567278,15.148780697478726,14.870993376273903,13,South,Sales,2020
58802.85640700405,24939.82618500298,383,8.635482924968027,19.691419029879988,24.792265239032027,41,West,Sales,2020
82856.83438714968,22858.113872122678,409,6.116752013733562,12.419776358913131,19.095604194953225,23,South,Sales,2024
35141.955123039676,46581.10873500068,17,8.80440888015849,15.480603884704918,8.71556443904209,19,North,Sales,2024
41505.53405595842,42916.62693962936,397,9.533456788207427,12.688623556474788,0.23675866753311325,45,East,Sales,2023
,41241.19817052155,369,8.120152354835552,12.827518862838422,16.37867976336308,11,South,Engineering,2020
42447.86518825701,41283.4550926428,397,10.0,13.454139382656804,12.721824625060995,1,West,Finance,2022
26740.04853400801,34877.53227153085,193,6.339316201344641,16.110668858168566,18.742318640332787,24,West,HR,2019
51028.44462209041,26027.456285141685,290,,12.606256891682612,15.622061620183635,7,South,Sales,2021
34065.44429410843,35758.045581937266,204,4.831919626643582,21.278780627867604,20.594632583832023,25,West,Engineering,2024
57103.88645952773,28228.382884878883,361,9.744066467233775,10.526963488902481,1.577177461273184,21,Central,Engineering,2022
36208.63648649295,44751.197334177516,204,8.481548484531087,14.065641779193205,23.80872878761191,15,Central,Engineering,2021
73249.01607526309,33529.42618497861,164,7.416622993634317,12.801344708629125,10.371195256308795,1,Central,Finance,2021
38251.20061495644,26745.028032074886,102,7.919952939479731,22.234889421768663,32.90313047150319,12,North,HR,2019
45169.07725691487,31786.141583470067,169,5.811766429052435,15.982773882557874,-0.27025381707481344,7,South,Finance,2023
62202.758260545044,39129.31454275624,443,10.0,20.159222697343175,28.83156563798299,15,North,Marketing,2020
31537.03525349067,29362.754471960252,70,7.693831772962842,7.572198134815141,10.374929401551773,21,West,Engineering,2019
53411.899019061944,26777.796044335686,131,7.664092191907339,16.335251329346296,0.18298395662661981,19,North,Marketing,2022
69607.14131423642,37436.872114919126,60,8.588649935848037,19.448153978117183,2.193369991348141,29,West,Sales,2023
25887.75148158159,37449.665711087226,412,,15.411419946377121,4.155832301668158,25,West,Sales,2022
52769.507877984564,29930.5682462887,286,,20.327401875326757,13.089991356822997,33,East,Finance,2023
53898.24191372635,30289.61694381677,14,6.314288316832032,12.413557749498139,14.274025856425995,49,Central,HR,2024
61727.34307665966,37320.499373576364,475,,22.0467372009279,1.1155999527370515,32,West,Marketing,2022
31445.73933682877,20519.156585026758,101,10.0,26.49449061809625,7.707744892868206,49,East,HR,2019
30193.150803735854,20925.362256234446,179,9.518130069232466,13.185807197801704,33.707244303342364,35,Central,Finance,2023
57829.12348425346,27815.55778747564,326,9.889779939959094,12.77248739299614,28.730518041208537,44,West,Sales,2023
54454.77009849779,32865.52848288153,31,6.733176485353223,22.266922385588504,13.235884036088386,38,West,HR,2021
53757.39275518815,38109.07565598004,414,6.0155927696121285,22.897860728653562,8.456041738018403,26,North,HR,2021
55196.72314245463,49753.56216949552,335,7.3113196198505275,12.385699864233658,9.440375920619136,11,North,Sales,2018
39799.62917632264,43576.596232020194,10,7.583587368433042,12.899065914520714,15.362215672765,35,Central,Marketing,2022
53483.80545741505,33400.61470036573,142,9.141287277706423,13.591076955697464,-4.273510782380868,8,West,Sales,2021
54396.08709948022,34809.837920973114,242,4.961303055427771,8.277747444828615,4.911481550919859,46,South,HR,2018
39284.72872960448,24974.706353621914,21,9.79432547919092,10.406740267579009,-12.023008886531073,14,North,Marketing,2024
77986.61766717135,34814.8686400761,355,7.262988152131516,9.97929616623966,12.79067747126335,10,Central,Marketing,2024
57107.49381367681,32113.413610798616,55,6.85967839507887,11.161012174479357,15.766351276432893,2,West,Sales,2021
32130.44754196027,38227.185603380894,43,5.981843437109749,14.826575563066093,2.201762452407512,46,West,HR,2022
59848.30412950744,26727.69056447677,442,5.017714992201346,16.171073662682602,26.887841159480395,9,South,Finance,2023
35379.77494659018,40193.465142411726,87,8.734755875942872,22.752502464070385,-6.709187956028096,3,Central,HR,2020
61806.26905613678,50327.389130025775,227,7.609976950782606,10.008229796306045,-9.572498562517843,21,West,Engineering,2022
67378.93368511106,33912.39851543142,310,5.565058650388419,19.921611992382918,10.693421822719664,26,North,Finance,2019
37689.76522472434,39017.117220989414,420,5.557381841904576,13.930055778872456,20.565179631345856,8,South,Marketing,2024
64450.64193866483,41901.43991711113,82,6.9963229510648075,14.752681451737836,,48,Central,Finance,2021
56191.71390404747,30987.795281141636,291,10.0,18.37409746083302,2.49338884557272,2,South,Marketing,2021
62330.90239991735,37240.92481810417,258,7.110612972954593,9.386389892188507,20.944170001175547,6,North,Marketing,2023
78451.89473980921,35125.92400781795,56,5.2452855703228405,16.912048730920255,7.537898365991514,28,Central,Finance,2019
46319.17825995694,35976.76098548832,130,7.131385403871084,15.83226104106528,5.928472400710165,29,South,Marketing,2023
38693.95753463766,27269.902161445334,223,7.090914645378494,17.462256320040744,18.603919249840068,26,East,Marketing,2019
36657.28355561715,35245.101742589424,248,3.4546700355876423,16.44584321953909,15.827874540961036,25,North,Engineering,2020
37762.845725518426,39979.9829124545,65,7.418557700223282,27.27650069955447,-10.916705883810991,12,North,HR,2024
48843.47435878844,49511.43607795042,359,7.153598204686983,11.81130007874342,25.718484196710747,5,North,HR,2021
55117.279622249654,44592.70826085207,116,8.544309547220127,12.345015224990911,24.56109624976942,34,East,Engineering,2021
54150.36198995029,56531.82457511556,328,10.0,11.884297367876178,0.49324758188564743,48,East,Finance,2020
62407.74873554036,27326.524371119507,57,,12.222614404198726,12.74964240124891,37,West,Sales,2018
50195.02837816861,43723.20636720678,70,7.096666964167754,11.813064363467412,,15,South,Sales,2024
71803.01115735975,36833.42005738352,346,5.840211136887494,20.94508265553776,11.128085189886885,44,West,Sales,2023
46030.147501430656,56898.029332176724,35,10.0,22.102521239949276,1.396338153854959,36,South,Engineering,2020
,26917.017146448485,301,7.588827651021733,12.14626853125262,-0.05948041525661907,15,East,Engineering,2023
59385.01021647509,26602.78157819224,266,7.5208939378694195,10.838222134478857,7.693351148102657,43,East,Marketing,2022
37142.63665375576,29006.07354555978,17,7.463812369334995,17.35707778193202,,48,West,Sales,2021
33936.612529083315,13761.04275690193,122,7.797127141151782,12.238884778595143,14.523201855133188,23,Central,Finance,2023
57237.08622864778,29742.449783192387,364,7.283459382114087,18.164659088777555,3.5526280149667286,6,West,Finance,2019
46648.05822011224,27408.67338446302,262,6.639506989679646,16.0146151042565,17.260384527780136,46,South,Sales,2023
60710.007411381375,36503.937864762076,189,6.679711588139412,7.42127942501384,-26.182511447560906,44,West,Sales,2022
57098.56436860317,38417.559757771596,216,7.450870094676002,22.737526006650306,21.78518840446524,43,North,Sales,2024
48907.56631014691,53761.708392158864,312,6.684862843299353,23.97938836547761,-12.876565345337195,45,South,Engineering,2021
37298.094228973925,44504.2383818605,136,6.430731325984254,11.936056547578069,3.6507087031624144,21,South,Engineering,2020
27277.291629712032,29230.96344337597,65,7.659645341537845,13.06149220032008,-5.436038735513726,23,Central,Engineering,2022
43302.275718994686,26015.85328651642,223,7.117534173868717,16.429326953624525,-7.536177708650868,43,East,HR,2021
62845.981914852084,39919.191715065055,23,9.755989482874032,16.672283949935125,21.92992144854223,16,South,Finance,2023
53211.40616195306,21797.667929793577,483,3.523545287410482,18.29272136336415,2.3875855842573035,47,East,Finance,2024
31313.91831932018,53314.58765854353,37,9.137260277883692,25.051022693831747,12.15804658076859,15,West,Marketing,2018
52597.71388776773,46794.40120721287,480,9.369127788746443,14.115263862529753,7.436953053449791,25,North,Engineering,2024
55779.76069593255,30308.24347895295,87,4.389914651387776,11.008513777307732,13.724489926677457,36,Central,HR,2018
36742.138456983004,17868.654709091225,225,6.985968608879476,8.103403859927365,8.921862692723064,11,East,HR,2019
52305.87658918292,48538.72374165413,395,,11.345349800290405,-7.395906690262835,15,South,Finance,2024
50873.13077669,33854.60154747382,374,5.388732457923268,14.834365135631014,19.95520183336568,4,East,Engineering,2021
32855.44553254065,47378.163119734614,163,6.333274968613687,23.97278931758894,2.07492100206425,21,South,Marketing,2018
57450.71229516849,38577.87360348283,108,8.36483544458365,9.447120772670857,1.788664411565943,1,Central,Marketing,2019
47926.03548243223,40607.84526368234,394,7.966875231815304,23.761352217118116,10.685455419666782,5,East,Engineering,2024
59715.32807151039,45830.512431752766,414,10.0,19.678391965737305,7.802925247126975,20,South,Finance,2018
72845.44784612038,45538.02052034903,320,9.179362367151866,21.357775474970794,22.260719281377007,8,Central,Engineering,2019
46487.69937914996,21223.30632042909,15,7.30812361277885,18.608360320216175,38.32318911048346,43,West,Engineering,2024
